img_name,label
shorts_2030d1b9-42f8-4e67-8d21-2f41d7480ec6.jpg,shorts
longsleeve_2bd016a4-6026-4e31-81f6-3ee12d3e59a5.jpg,longsleeve
longsleeve_f2ed2a21-1f1d-4c4f-b814-ea534d7bc397.jpg,longsleeve
t_shirt_7f82b581-a031-438f-9afc-7a0f111e8ca8.jpg,tshirt
shirt_8839ff09-34ac-4d05-9126-57f5fc242f21.jpg,shirt
longsleeve_540e1bec-cdda-45b2-91ef-66df33ee50c0.jpg,longsleeve
shoes_530c78c5-4fda-4abe-9f01-8d329524ab4f.jpg,shoes
outwear_aa0d4e07-d760-4706-8e27-5d95de2aecb5.jpg,outwear
shirt_d58aed7a-6edc-4edf-abd0-f7d62f97ddb0.jpg,shirt
pants_93a6f341-bdd7-4feb-88b6-8de1512ba7df.jpg,pants
longsleeve_226e8676-f121-4601-a544-a204fc0541c2.jpg,longsleeve
t_shirt_4d591b2d-59aa-4977-9f27-db69929cb9d8.jpg,tshirt
outwear_0c6f89cd-30f6-4b44-bda5-0ba8d90e6717.jpg,outwear
dress_0546d34a-a369-4723-8d3a-74c0f51af26c.jpg,dress
dress_c6815f1d-54b5-4b94-a8a8-02cd9db5c08a.jpg,dress
shorts_2e11ac6b-d3ac-4368-b499-9beea54388a4.jpg,shorts
hat_0979a14e-051a-4659-8e87-2f6a424e2c12.jpg,hat
t_shirt_2a9b33f5-f34e-4a3b-bb3f-307254c8bdbc.jpg,tshirt
longsleeve_70fd429b-73ec-4b4a-9173-2b6efbe7d6ee.jpg,longsleeve
t_shirt_02ef828a-a7d5-4475-bf44-3907b3a977ff.jpg,tshirt
t_shirt_09ffb7d6-3045-4d5a-8f4b-f0e4738fa960.jpg,tshirt
not_sure_92f643b6-e4a1-49d1-a695-2257ff1c617a.jpg,not
dress_4569133b-2f46-464d-8405-8f7b5fe1ff6a.jpg,dress
blazer_8993a2af-5a48-4477-ba0c-af3a7bce6c3e.jpg,blazer
other_2988eee7-4c4e-4601-9d83-5033c3c8c5c0.jpg,other
shorts_5d3a1404-697f-479f-9090-c1ecd0413d27.jpg,shorts
shoes_6048d80e-6197-4274-a326-f42812586e9b.jpg,shoes
dress_2bc3b252-bec7-4dbc-beb3-f7977e71000f.jpg,dress
pants_dcaa24c0-748f-4aa4-8c4d-bb1a4012ec78.jpg,pants
t_shirt_9c7c3ae3-0afe-4f6e-b28e-adcfcbf4aa2e.jpg,tshirt
dress_7aa53761-7711-4850-b94e-9d8ae3272320.jpg,dress
t_shirt_07adbe68-f902-4819-8a74-420cf4745253.jpg,tshirt
longsleeve_dd3f4caa-ecbf-477f-b75c-0e1746b716f9.jpg,longsleeve
images_original_621a23eb-19f6-4190-9fd7-e575c94b71a1.jpg,images
dress_2dcaec0f-b253-4d75-aa8a-01f0858229a8.jpg,dress
other_6f12f05e-3f9a-4426-9070-4978a4d10a94.jpg,other
polo_e5bff47c-bc9d-4ee8-a76f-9b315188eddd.jpg,polo
undershirt_059c0eca-67fc-4357-8969-28de775d3eea.jpg,undershirt
longsleeve_9788d16b-dc13-4f3a-aa94-d9fb00685851.jpg,longsleeve
images_original_9169af5e-1ae9-44c5-92e5-ff89b78ecf2a.jpg,images
longsleeve_fc445dc0-d718-4478-845f-a0223a74ebb8.jpg,longsleeve
dress_56cb5e95-40f1-4f3a-b935-b2cea9f2f038.jpg,dress
hat_6c2f18d0-30ff-468c-a470-39c65abf4851.jpg,hat
skirt_2ac96388-4353-44b6-a174-de2f2523afd1.jpg,skirt
t_shirt_bca5d877-14a4-428c-b031-2354ddf9ae7b.jpg,tshirt
longsleeve_7110460a-44eb-4bea-a477-e533a80f0db2.jpg,longsleeve
t_shirt_7462a8de-42f6-44fa-aacd-ba38c4c06ebd.jpg,tshirt
longsleeve_1a1b2429-4235-486e-9a97-afb7acb116e1.jpg,longsleeve
longsleeve_d56ac277-03da-43cd-b7d2-b151b9bfa1fc.jpg,longsleeve
undershirt_4648c6e6-5e5e-487d-bdad-d304306971f6.jpg,undershirt
pants_36821d07-63fd-4e3d-97b0-d50bcda3d617.jpg,pants
body_13230881-8277-4aac-9b03-3a4a42d33d2f.jpg,body
images_original_2ad92519-4ccd-49fd-800c-ed863b1ccb2b.jpg,images
dress_bc524ee8-429f-4b41-ab80-c54a63a3db8d.jpg,dress
t_shirt_46621d2e-a520-4fb6-bdd5-6e15432f6b28.jpg,tshirt
