FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Sustainable Retail Fund,2017-11-04,"The Hain Celestial Group, Inc.",937278,7680,160312083.52,998.64,953.31,165.81
Fixed Maturity 2025 Bond Fund,2022-07-19,BP Plc,234827,-6400,287511129.3,748.22,983.52,940.59
Fixed Maturity 2027 Bond Fund,2020-10-09,Volkswagen AG,589250,1708,178810344.4,593.96,154.23,748.09
Target Maturity 2029 Bond Fund,2021-09-30,"Amazon.com, Inc.",71513,7699,259247876.34,276.6,909.49,456.42
Global Short Term Credit Fund,2020-10-08,HSBC Holdings Plc,585346,8998,297127265.62,12.22,902.42,446.0
International Fixed Duration Fund,2022-11-27,Ping An Insurance (Group) Co. of China Ltd.,214659,2041,27840948.35,293.11,480.51,295.69
Global Cross Asset Fund,2020-06-14,"Berkshire Hathaway, Inc.",778347,6384,439042267.26,392.33,891.41,274.43
Impact Credit Strategies Fund,2021-08-13,"SolarEdge Technologies, Inc.",769740,5706,91920587.82,171.47,200.33,347.55
Target Maturity 2029 Bond Fund,2021-08-25,"Amazon.com, Inc.",557122,-553,463376309.27,881.89,59.11,99.55
Community Savings Bond Fund,2021-10-26,Nestlé SA,390930,-5421,156514423.38,50.63,537.99,920.58
Fixed Maturity 2025 Bond Fund,2019-05-23,Exxon Mobil Corp.,671859,1132,153450150.84,644.17,73.28,869.97
Global Short Term Credit Fund,2017-12-17,Bank of America Corp.,349471,-2294,319148067.91,552.53,910.59,262.8
Subordinated Financials Fund,2019-01-08,Morgan Stanley,208928,6945,452950790.21,795.65,911.93,716.35
Global Cross Asset Fund,2017-09-03,Johnson & Johnson,38068,1129,466042763.34,715.26,465.11,717.16
Impact Credit Strategies Fund,2017-12-23,"First Solar, Inc.",351546,2070,125726186.75,277.52,387.95,606.61
Sustainable Retail Fund,2018-06-21,"Beyond Meat, Inc.",692140,2759,379321404.19,98.58,278.23,243.39
Target Maturity 2029 Bond Fund,2020-03-31,"Apple, Inc.",14973,3007,109714679.47,890.72,349.69,584.7
Community Savings Bond Fund,2022-10-06,Procter & Gamble Co.,196892,-2337,227357488.58,376.66,377.65,401.3
Target Maturity 2029 Bond Fund,2021-05-12,Microsoft Corp.,39465,9257,406146832.0,410.1,963.66,664.07
Target Maturity 2029 Bond Fund,2020-11-20,Microsoft Corp.,461312,-2386,31188882.53,840.09,878.29,301.44
Target Maturity 2029 Bond Fund,2021-06-13,Microsoft Corp.,587739,3885,282497228.79,840.64,129.17,792.68
Impact Credit Strategies Fund,2019-10-05,"First Solar, Inc.",61730,-6878,372491799.39,619.28,594.9,57.46
Fixed Maturity 2025 Bond Fund,2017-02-07,Chevron Corp.,13861,-9017,359225885.36,669.31,295.57,954.68
Sustainable Retail Fund,2017-09-29,"Beyond Meat, Inc.",902895,8203,10090264.26,525.5,253.46,69.32
Fixed Maturity 2025 Bond Fund,2019-11-28,Exxon Mobil Corp.,46690,-8591,7180808.74,658.86,514.31,611.66
International Fixed Duration Fund,2022-03-27,Allianz SE,2571,-9611,355845710.12,927.04,801.11,883.26
Fixed Maturity 2027 Bond Fund,2018-12-31,Ford Motor Co.,452592,2553,112075928.88,368.18,187.99,62.98
Fixed Maturity 2027 Bond Fund,2019-01-21,Volkswagen AG,272644,-1260,99997836.93,414.25,201.38,836.85
Global Short Term Credit Fund,2017-09-28,Bank of America Corp.,320698,-2203,408957203.24,824.38,524.81,152.95
Equity Diversified Selection Fund,2017-07-11,"Netflix, Inc.",190743,-6800,124670310.14,211.55,43.59,535.44
Target Maturity 2029 Bond Fund,2017-01-10,Microsoft Corp.,668810,-8913,186667828.49,250.6,804.51,36.12
Sustainable Retail Fund,2021-10-13,"Tesla, Inc.",806591,6021,67217983.41,688.06,727.23,186.35
International Fixed Duration Fund,2021-01-04,Allianz SE,194404,3928,83945805.93,593.03,670.73,386.0
Impact Credit Strategies Fund,2021-06-02,Vestas Wind Systems A/S,912854,6323,431993241.94,569.44,741.02,633.12
Equity Diversified Selection Fund,2020-02-16,Google LLC,45040,6186,312287463.14,392.66,872.91,631.44
Subordinated Financials Fund,2021-11-30,Citigroup Inc.,735771,-8645,296391684.26,915.72,434.85,679.5
Community Savings Bond Fund,2018-02-01,Procter & Gamble Co.,814245,3187,46251485.39,185.54,749.62,480.15
Global Cross Asset Fund,2022-11-09,Johnson & Johnson,458944,-6149,88482219.08,979.85,175.58,489.45
Global Short Term Credit Fund,2021-08-30,JPMorgan Chase & Co.,604052,-146,232262176.93,221.17,648.65,696.81
Global Short Term Credit Fund,2022-06-24,HSBC Holdings Plc,67815,-8652,243168824.89,528.29,287.92,405.06
Fixed Maturity 2025 Bond Fund,2019-07-14,Chevron Corp.,734640,-6500,254999666.52,152.45,344.79,232.98
Sustainable Retail Fund,2017-08-15,"The Hain Celestial Group, Inc.",436529,-7531,346359060.34,590.79,144.22,861.6
Subordinated Financials Fund,2020-09-09,Morgan Stanley,960048,-9892,172125556.27,565.61,396.89,445.48
Community Savings Bond Fund,2018-10-10,"Walmart, Inc.",68261,-7978,125085326.44,424.67,786.3,795.73
Global Short Term Credit Fund,2022-06-06,Bank of America Corp.,715190,8962,40839146.67,614.1,364.82,269.59
Community Savings Bond Fund,2020-12-10,Nestlé SA,347140,-8271,234152670.6,871.88,556.13,519.94
Equity Diversified Selection Fund,2018-02-17,"Netflix, Inc.",199257,-8471,305147270.72,444.17,935.79,505.7
Sustainable Retail Fund,2018-06-28,"Beyond Meat, Inc.",509988,8279,244602337.46,134.52,137.69,866.47
Sustainable Retail Fund,2022-07-18,"Tesla, Inc.",266785,4675,462717148.68,805.67,679.74,414.63
