FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2025 Bond Fund,2020-08-19,Tencent Holdings Ltd.,328568,-4711,99598498,706,880,547
Global Cross Asset Fund,2018-03-29,Sony Group Corp.,660758,2391,317161617,318,546,130
Fixed Maturity 2025 Bond Fund,2022-08-04,"Verizon Communications, Inc.",537438,1649,500251089,229,268,668
Fixed Maturity 2025 Bond Fund,2020-06-16,Pfizer Inc.,519054,2368,961906081,119,209,757
European High Yield Bond Fund,2020-03-22,Reliance Industries Ltd.,355792,-763,978810790,24,510,589
Target Maturity 2029 Bond Fund,2019-03-07,Petróleo Brasileiro SA,647924,272,882128685,287,234,974
European High Yield Bond Fund,2017-02-09,TotalEnergies SE,684622,4511,971804529,688,644,16
Impact Credit Strategies Fund,2022-09-18,Reliance Industries Ltd.,164734,3722,567137321,669,879,640
Impact Credit Strategies Fund,2020-11-02,Gazprom PJSC,559964,3488,706548554,240,865,984
Global Cross Asset Fund,2018-02-22,"AbbVie, Inc.",97234,1863,959978888,727,254,500
Target Maturity 2029 Bond Fund,2022-08-30,"UnitedHealth Group, Inc.",114346,2897,787318850,76,658,724
Equity Diversified Selection Fund,2020-04-18,Mercedes-Benz Group AG,968762,-2565,110714783,881,184,16
Equity Diversified Selection Fund,2019-02-05,"Verizon Communications, Inc.",483208,4497,633716682,976,896,903
International Fixed Duration Fund,2017-04-30,Pfizer Inc.,606573,2803,794156076,352,108,727
Sustainable Retail Fund,2021-04-16,Tencent Holdings Ltd.,370221,-583,176286271,986,505,918
Community Savings Bond Fund,2017-07-28,TotalEnergies SE,169614,2877,272281165,179,347,75
Global Short Term Credit Fund,2022-06-20,Sony Group Corp.,543223,-1127,221255923,837,963,303
Global Cross Asset Fund,2021-10-16,"Verizon Communications, Inc.",773342,-12,117864107,557,307,966
Global Cross Asset Fund,2022-03-02,"Verizon Communications, Inc.",558651,-2464,139876580,945,898,15
Fixed Maturity 2025 Bond Fund,2018-06-18,"UnitedHealth Group, Inc.",305587,-241,91963615,372,461,677
Community Savings Bond Fund,2017-05-07,Intel Corp.,842990,-3438,151300869,505,871,991
Impact Credit Strategies Fund,2017-07-28,Pfizer Inc.,830527,1186,317313000,144,411,76
Target Maturity 2029 Bond Fund,2018-09-22,"Taiwan Semiconductor Manufacturing Co., Ltd.",747602,-1317,667905624,570,277,784
Global Cross Asset Fund,2020-10-03,Shell Plc,560789,-1710,332434805,823,662,35
Global Cross Asset Fund,2022-06-23,Industrial & Commercial Bank of China Ltd.,499075,-862,680128115,621,919,616
Global Short Term Credit Fund,2022-12-18,China Mobile Ltd.,348915,1000,658067569,100,413,906
Community Savings Bond Fund,2020-06-11,"AbbVie, Inc.",395089,2892,384234032,851,555,84
Impact Credit Strategies Fund,2021-02-11,Tencent Holdings Ltd.,131050,-4699,836186872,483,628,685
Fixed Maturity 2025 Bond Fund,2022-08-17,Mercedes-Benz Group AG,989236,-4806,785979728,23,666,985
Community Savings Bond Fund,2018-05-10,TotalEnergies SE,368080,-2716,511099712,980,389,896
International Fixed Duration Fund,2021-11-03,"AbbVie, Inc.",725678,-3162,161176304,478,785,656
Sustainable Retail Fund,2017-11-30,Tencent Holdings Ltd.,919056,-142,699905486,134,519,374
European High Yield Bond Fund,2020-02-07,"UnitedHealth Group, Inc.",535135,2748,854401829,30,595,832
Community Savings Bond Fund,2020-12-15,"Taiwan Semiconductor Manufacturing Co., Ltd.",694597,-3839,632797111,548,256,362
European High Yield Bond Fund,2022-07-26,Shell Plc,369899,-1464,795336696,819,386,718
Community Savings Bond Fund,2017-08-28,Gazprom PJSC,720171,2142,39690308,531,667,366
European High Yield Bond Fund,2022-09-18,"PetroChina Co., Ltd.",31507,-998,618552685,130,439,269
Target Maturity 2029 Bond Fund,2020-11-12,Gazprom PJSC,832839,3347,634380383,959,451,381
Community Savings Bond Fund,2021-03-23,"Taiwan Semiconductor Manufacturing Co., Ltd.",943386,-3213,432111962,114,971,991
