FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Global Cross Asset Fund,2021-01-12,Alibaba Group Holding Ltd.,856879,3355,447778771.17,635.69,186.62,118.56
Impact Credit Strategies Fund,2017-11-01,"First Solar, Inc.",55678,-4675,414122526.03,42.79,643.04,64.72
Subordinated Financials Fund,2020-03-21,"Goldman Sachs Group, Inc.",483163,-2921,2367650.4,848.53,419.14,290.27
Subordinated Financials Fund,2022-11-19,Morgan Stanley,226715,5500,468512796.85,246.92,350.78,604.32
Community Savings Bond Fund,2017-08-04,Nestlé SA,807287,2322,138462449.04,605.37,344.39,23.07
Global Cross Asset Fund,2020-09-22,"Berkshire Hathaway, Inc.",426098,9354,292856979.3,957.74,555.53,816.83
Global Cross Asset Fund,2018-10-25,"Berkshire Hathaway, Inc.",189445,9793,132481026.51,661.71,805.26,337.59
Global Short Term Credit Fund,2019-04-17,JPMorgan Chase & Co.,904031,-3151,24671796.05,655.29,533.71,604.88
International Fixed Duration Fund,2021-10-17,Allianz SE,988510,-6580,184794193.93,774.03,537.26,94.41
Fixed Maturity 2027 Bond Fund,2022-07-02,Ford Motor Co.,998912,7432,42732632.1,505.29,588.54,332.65
Target Maturity 2029 Bond Fund,2017-01-26,"Amazon.com, Inc.",642541,2551,227106854.4,645.12,128.84,851.39
Community Savings Bond Fund,2020-03-24,Procter & Gamble Co.,226669,6368,416651229.32,597.67,672.37,857.03
Sustainable Retail Fund,2021-10-22,"The Hain Celestial Group, Inc.",528430,-8985,229130577.32,898.95,880.54,761.54
Target Maturity 2029 Bond Fund,2020-05-04,"Apple, Inc.",406200,9608,361978490.26,258.7,480.4,572.99
Fixed Maturity 2027 Bond Fund,2021-12-04,Toyota Motor Corp.,100401,-6399,72242065.87,980.91,206.6,595.78
Global Cross Asset Fund,2018-06-27,Alibaba Group Holding Ltd.,196779,8075,107064872.47,860.75,665.24,434.45
Sustainable Retail Fund,2019-11-01,"Beyond Meat, Inc.",30099,-6283,493843033.48,228.85,852.3,589.07
Equity Diversified Selection Fund,2021-05-18,Google LLC,240990,-7749,54473132.25,290.41,272.49,890.81
International Fixed Duration Fund,2019-04-24,Ping An Insurance (Group) Co. of China Ltd.,738757,6603,171210028.94,491.23,306.64,397.97
