FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Fixed Maturity 2027 Bond Fund,2017-02-14,Toyota Motor Corp.,802909,1251,420137442.75,666.8,402.68,966.92
Global Short Term Credit Fund,2018-01-02,HSBC Holdings Plc,712641,3162,24005408.44,741.21,691.44,340.68
Target Maturity 2029 Bond Fund,2021-06-19,"Amazon.com, Inc.",467383,4663,306300944.42,142.6,982.9,457.34
Global Short Term Credit Fund,2019-12-14,Bank of America Corp.,617590,1792,114643832.09,255.32,181.96,21.93
Fixed Maturity 2027 Bond Fund,2019-06-24,Ford Motor Co.,427591,-2234,399094234.59,259.05,827.86,272.53
Fixed Maturity 2025 Bond Fund,2017-09-18,Exxon Mobil Corp.,329418,1402,102855787.19,751.49,596.1,66.03
Fixed Maturity 2025 Bond Fund,2021-08-15,BP Plc,719459,-2793,334663477.62,127.87,741.09,392.32
Community Savings Bond Fund,2020-10-17,"Walmart, Inc.",311730,-3370,57770696.19,805.85,368.0,486.93
Fixed Maturity 2025 Bond Fund,2021-10-08,Chevron Corp.,672903,-3433,302801450.81,87.99,58.76,488.03
Equity Diversified Selection Fund,2019-05-13,"Facebook, Inc.",673006,9370,82372170.1,967.74,861.96,279.05
Impact Credit Strategies Fund,2019-06-10,"First Solar, Inc.",893898,-8370,158508534.78,734.61,252.71,181.4
Impact Credit Strategies Fund,2020-04-23,Vestas Wind Systems A/S,195264,-2731,485107005.26,379.24,823.06,589.77
Community Savings Bond Fund,2017-03-09,Procter & Gamble Co.,675919,1495,475478605.18,338.49,957.7,499.08
Target Maturity 2029 Bond Fund,2019-03-16,Microsoft Corp.,738841,1605,457587954.33,454.62,403.87,420.37
Target Maturity 2029 Bond Fund,2021-02-03,Microsoft Corp.,934738,6279,276245937.32,303.23,740.68,254.26
Subordinated Financials Fund,2019-11-21,Morgan Stanley,305877,4485,19025742.5,197.3,446.71,776.3
Global Cross Asset Fund,2018-12-26,"Berkshire Hathaway, Inc.",679148,-9983,283640487.81,257.57,342.93,219.7
Equity Diversified Selection Fund,2021-11-24,"Netflix, Inc.",728190,947,470977208.98,772.02,163.27,991.28
Global Cross Asset Fund,2017-05-23,Alibaba Group Holding Ltd.,99948,3295,475071067.73,817.84,909.51,725.3
Community Savings Bond Fund,2022-06-29,"Walmart, Inc.",882353,2161,380095539.71,80.28,796.4,426.18
Global Cross Asset Fund,2019-09-10,Johnson & Johnson,586262,4100,257410011.24,474.42,342.96,382.33
International Fixed Duration Fund,2022-11-14,Ping An Insurance (Group) Co. of China Ltd.,780226,3363,484540780.21,286.98,539.63,258.41
Subordinated Financials Fund,2018-12-24,Citigroup Inc.,7986,209,115540296.25,408.86,999.43,884.17
