FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Equity Diversified Selection Fund,2022-04-10,"Facebook, Inc.",309366,-9893,467566266.51,555.15,170.29,836.41
Fixed Maturity 2027 Bond Fund,2018-06-17,Volkswagen AG,930272,-3287,195595045.26,584.05,191.73,402.7
Fixed Maturity 2025 Bond Fund,2018-03-13,Chevron Corp.,684926,2388,326447013.5,189.84,393.5,16.21
Community Savings Bond Fund,2021-08-24,Procter & Gamble Co.,791273,-4141,316854956.87,970.93,173.91,148.42
International Fixed Duration Fund,2017-07-23,Allianz SE,897891,419,23348766.25,26.16,969.15,351.88
Community Savings Bond Fund,2020-12-10,Procter & Gamble Co.,932849,-4936,35815479.8,313.07,94.68,809.29
Equity Diversified Selection Fund,2020-02-12,"Netflix, Inc.",2831,6888,167045006.46,98.01,226.35,466.65
Fixed Maturity 2025 Bond Fund,2022-07-04,Chevron Corp.,66750,3518,140419450.67,365.2,288.4,886.39
Impact Credit Strategies Fund,2018-04-20,Vestas Wind Systems A/S,281781,3768,370540401.34,354.25,796.11,558.51
Sustainable Retail Fund,2020-06-17,"Beyond Meat, Inc.",170562,3477,221161192.38,428.39,543.59,163.64
Fixed Maturity 2027 Bond Fund,2020-02-02,Toyota Motor Corp.,615136,5327,78402857.59,816.01,757.36,923.8
Sustainable Retail Fund,2022-01-08,"The Hain Celestial Group, Inc.",443797,-7998,165930998.54,266.8,531.06,964.45
Sustainable Retail Fund,2018-11-29,"Tesla, Inc.",235384,-6915,257503308.95,410.36,833.5,528.84
International Fixed Duration Fund,2018-02-25,Allianz SE,683841,4557,71775197.06,280.3,540.54,364.51
Fixed Maturity 2027 Bond Fund,2021-12-19,Ford Motor Co.,821903,-8124,297145902.3,682.13,297.57,667.31
Impact Credit Strategies Fund,2017-04-23,Vestas Wind Systems A/S,690938,2273,429828403.78,893.98,837.21,81.22
Sustainable Retail Fund,2021-12-27,"The Hain Celestial Group, Inc.",193574,1798,233577671.56,578.51,975.86,903.27
Community Savings Bond Fund,2021-02-07,Procter & Gamble Co.,229149,-4066,403988366.8,444.82,260.99,657.59
Community Savings Bond Fund,2017-08-14,Procter & Gamble Co.,180722,-983,228391714.74,236.31,955.76,617.06
Subordinated Financials Fund,2017-03-31,Morgan Stanley,153333,9888,102693245.71,967.35,845.74,949.94
Global Cross Asset Fund,2019-06-30,Johnson & Johnson,329913,9647,225283673.17,248.3,999.52,574.02
Global Short Term Credit Fund,2019-05-08,HSBC Holdings Plc,216025,-6224,241587346.92,247.69,253.07,929.95
Community Savings Bond Fund,2017-07-08,Nestlé SA,432884,4855,278300814.43,73.5,465.01,334.43
Community Savings Bond Fund,2022-08-31,Nestlé SA,538453,7589,448662140.16,650.16,928.65,488.91
Fixed Maturity 2025 Bond Fund,2019-06-19,BP Plc,464802,-1412,45762613.12,933.13,824.85,333.65
Impact Credit Strategies Fund,2019-09-03,"SolarEdge Technologies, Inc.",525465,-7635,82894695.81,515.25,200.74,98.58
Community Savings Bond Fund,2021-04-24,"Walmart, Inc.",84448,-7048,317766386.26,98.84,961.35,111.33
Sustainable Retail Fund,2017-07-10,"Tesla, Inc.",899033,3122,135099521.15,129.48,244.49,316.53
