FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Target Maturity 2029 Bond Fund,2024-02-19,Shell Plc,5838,3215,121584.56592141988,449.94365629602083,588.4831701187526,969.7800306676664
European High Yield Bond Fund,2024-02-18,Saudi Arabian Oil Co.,6872,4431,492053.9168359192,508.26776783571216,336.2524063858,304.7286721796762
Equity Diversified Selection Fund,2024-02-17,"Verizon Communications, Inc.",4653,-850,202425.38253347535,760.0874372052097,947.4186074521044,290.30381325778103
Impact Credit Strategies Fund,2024-02-16,"AbbVie, Inc.",5299,4496,862444.5403054156,295.93640407402796,507.6849869807144,249.7169495345504
Fixed Maturity 2027 Bond Fund,2024-02-15,"UnitedHealth Group, Inc.",1973,1947,260934.65126850677,271.5466868250218,477.5433863309889,744.3582287584832
Target Maturity 2029 Bond Fund,2024-02-14,Sony Group Corp.,8083,1470,637096.0367107034,309.9379934938731,316.11743699517325,799.3127834755572
Sustainable Retail Fund,2024-02-13,Shell Plc,6494,2179,173907.87993450052,560.1395437058034,345.39864032971246,601.143034405025
Community Savings Bond Fund,2024-02-12,Gazprom PJSC,4406,-1288,410864.53277612827,877.2443693301033,517.6272362391129,655.4638732347362
Target Maturity 2029 Bond Fund,2024-02-11,Pfizer Inc.,6150,458,900363.6236928706,832.6319824966938,313.59814736184484,355.47115696032887
Equity Diversified Selection Fund,2024-02-10,Sony Group Corp.,4129,315,174403.79995792106,67.3661998468919,893.381835524728,49.3599670481535
Equity Diversified Selection Fund,2024-02-09,Reliance Industries Ltd.,1104,381,666563.8670948562,880.1655601791033,444.6277531048176,261.0994852048405
Impact Credit Strategies Fund,2024-02-08,Sony Group Corp.,8433,4497,212465.26685039524,104.1582804762079,299.10186317289407,588.4601948591217
Fixed Maturity 2027 Bond Fund,2024-02-07,Pfizer Inc.,8689,-1826,421591.5620068442,421.194588625681,163.84088520573786,814.8033555605448
European High Yield Bond Fund,2024-02-06,"PetroChina Co., Ltd.",4567,1387,545210.7155308534,767.750394861679,675.6272190373545,779.4230286486672
Impact Credit Strategies Fund,2024-02-05,TotalEnergies SE,5348,3973,581533.3540078503,90.69592567360372,35.52907385272822,187.69249055124942
Impact Credit Strategies Fund,2024-02-04,TotalEnergies SE,5390,1767,606486.2241776237,49.995683474197165,455.49582929824095,60.93174797546601
Community Savings Bond Fund,2024-02-03,Saudi Arabian Oil Co.,7811,-4434,643730.101237013,336.69584557468625,554.6206021635517,852.0544395960809
Fixed Maturity 2025 Bond Fund,2024-02-02,"Verizon Communications, Inc.",2181,-378,279051.01069705957,732.6263517787417,346.3867647715283,84.8333403756251
Fixed Maturity 2027 Bond Fund,2024-02-01,Shell Plc,5644,-868,407353.8108599875,526.5388731963936,752.3195698022556,399.3781501611758
International Fixed Duration Fund,2024-01-31,Industrial & Commercial Bank of China Ltd.,6873,3830,46945.47693931377,422.83185190359075,678.9038918695594,103.28340021706653
Impact Credit Strategies Fund,2024-01-30,"Taiwan Semiconductor Manufacturing Co., Ltd.",5394,1995,771069.4067660613,814.9425843405645,971.684997694262,568.4082233441206
Fixed Maturity 2025 Bond Fund,2024-01-29,Tencent Holdings Ltd.,4534,-833,838728.5067710134,769.0421695723022,513.679131296785,369.70306687564107
International Fixed Duration Fund,2024-01-28,"Samsung Electronics Co., Ltd.",6844,-2330,207244.39585069008,788.1827776366249,542.4342409830891,210.46868162349742
Fixed Maturity 2027 Bond Fund,2024-01-27,Intel Corp.,6939,4364,209429.52498338502,465.1295557097099,253.38092600188395,599.2159915358608
Global Short Term Credit Fund,2024-01-26,Tencent Holdings Ltd.,7475,4912,51616.0381685165,29.25475006711097,391.6290518234133,369.7578719808927
Sustainable Retail Fund,2024-01-25,Mercedes-Benz Group AG,2774,3296,970679.9845645626,180.41560375661493,36.59198524672093,175.12036920359347
Fixed Maturity 2025 Bond Fund,2024-01-24,Petróleo Brasileiro SA,9283,-3318,809114.7024360568,743.8874239938596,692.3820407117126,703.0855484386203
Global Cross Asset Fund,2024-01-23,TotalEnergies SE,1446,4054,367096.17087697174,755.6417370321287,318.5065716867046,838.4402267835527
Global Short Term Credit Fund,2024-01-22,"Verizon Communications, Inc.",1108,3490,487089.188755127,972.575626574323,544.9633395700309,281.00514537662013
Equity Diversified Selection Fund,2024-01-21,Tencent Holdings Ltd.,4239,-4230,299047.2910443599,198.28466164109085,262.4424724468396,194.56079534382187
Equity Diversified Selection Fund,2024-01-20,"AT&T, Inc.",6931,4654,601271.5286388636,131.69752027111855,624.8258383362621,84.49934336562526
Sustainable Retail Fund,2024-01-19,Tencent Holdings Ltd.,5053,-1146,720135.3282101732,147.40173739865423,453.10666802450396,532.6231038195044
Community Savings Bond Fund,2024-01-18,Intel Corp.,5537,-1882,452894.79321195337,192.94023392339886,487.0420458624312,832.9807627492025
